ilot;libelle_ilot;type_ilot;optim;type_bandeau
V31; SADTF7 R10 31SUD;ETL;0;C
V32; SADTF7 R10 GERS;ETL;0;C
ABS;ui procedure abs-rmc pilotage;ETL;0;C
TRS; SADTF7 TREIN LT ZONE SUD;ETL;0;C
39S;Transit Raccord POI pour C31;FT;0;R
FIR;UI expertise pole QS;FT;0;CE
P3S; SADTF7 POI TOULOUSE SUD;ETL;0;CE
P65; SADTF7 POI HAUTES PYRENEES;ETL;0;CE
RJO;HE/ SCOTF7 RE - JOF/R2F/U2R;RE;0;C
OSM;UI MIROIR NEUF CEGETEL;SE;;
RCO;HO/ RE HABITE FT - COL/J4A;RE;0;C
SVI;UI POUR PERI MASCOT;FT;0;CE
B46;BL/ SCOTF7 LOT;ETL;0;CE
PAV;RECEPTION PAV FTH MidiPy;FT;0;C
R09;R02 + PUB DE L ARIEGE(09);FT;1;CE
RDG;QUARANTAINE RDG;ETL;0;CE
EFI;UI CENTRE FIAB;FT;0;CE
GAA;Etudes MAPPLE Orange 12 + 81;FT;0;CE
PIO;pole int offr complx;FT;0;CE
R81;R02 DU TARN;FT;1;CE
R82;ui pub et jrt tarn et garonne;FT;1;CE
GNO;SAV 24/24;SE;0;
R12;R02 + PUB de l'AVEYRON;FT;1;CE
AQR;BL/UI BL tampon QRL analyste ;ETL;0;R
EMN;Etudes MAPPLE Nord SCOTF7;ETL;0;CE
FCN;Fibre CLGGCI - SCOTF7;ETL;0;CE
PPT;ALQPOT - BL Preventif Poteau;ETL;0;R
RCU;HE/ SADTF7 RE HABITE - CUG;RE;0;C
REA;en attente REAffectation;ETL;0;CE
RSC;UI nat:RS der COMMUT+const FH;ETL;0;R
12L;LL + TDSL Aveyron;FT;0;CE
FRG;FILTRAGE DES REO ;FT;0;C
UPR;ilot de transit cacer-upr;ETL;0;C
F09;Fibre PROD 09 - Ariege;FT;0;CE
O32;Ilot Reception OPO Opit 32;ETL;0;CE
SPF;BL/ui poi fibre spie;ETL;0;CE
Q46;STOCKAGE DES QRL DU LOT;ETL;0;CE
WSC;MERCI NE PAS OUVRIR garage OSM;RE;0;C
RLF;HE/ SCOTF7 RE HABITE - LAF;RE;0;C
S3N;NTIC TOULOUSE NORD;FT;1;CE
P76;UI nationale dediee publiphonie;FT;0;C
PRE;UI Poubelle pour les TRE;RE;0;C
F12;Fibre PROD 12 - Aveyron;FT;0;CE
EMS;Etudes MAPPLE Sud SADTF7;ETL;0;CE
FCS;Fibre CLGGCI - SADTF7;ETL;0;CE
PDC;ANALYSE DI AVEC PRESOMPTION DERCO;FT;0;C
ADM;UI RESERVEE ADMIN GPC PR TESTS;FT;0;C
IL1;ui tampon pour dring3;ETL;0;C
PBX;ui reo cagd vers Cacer;ETL;0;R
V46; SCOTF7 R10 LOT;ETL;0;C
GC8;RS/miroir ST-GAUDENS;FT;0;R
IL2;UI TAMPON SERV UNIV MARCHE R;ETL;0;C
NPN; SCOTF7 OT BL ac releve PRO;ETL;0;CE
PCO;PRESOMPTIONS DERCO ISSUS OCAPI;FT;0;C
PDE;UI FICTIF pour PDE;ETL;0;C
PF1;BL/ SEVAMP POI FIBRE;ETL;0;CE
SOU;expertise client n2;FT;0;CE
Y31; SADTF7 SAV 31 SUD;ETL;0;CE
NWO;SUPP AD sur NE Essai;ETL;0;CE
FSC;UI ICR CURATIF BL FIR SCOPELEC;FT;0;CE
B3N;BL/ SCOTF7 TLSE NORD + 31 NORD;ETL;0;CE
FLC;ICR CURATIF BL CONSTRUCTEL;FT;0;CE
GAM;UI garage pour Commandes Muntiples;ETL;0;CE
GC9;RS/exploitation ST-GAUDENS;FT;0;R
IL3;UI Tampon SAV+ PCG/PFG MiPy;ETL;0;C
P09; SADTF7 POI ARIEGE;ETL;0;CE
Y32; SADTF7 SAV GERS;ETL;0;CE
C31;BL/ FT TOULOUSE;FT;0;CE
S3S;NTIC TOULOUSE SUD;FT;1;CE
IL4;UI Tampon SAV+ PCG/PFG TLS;ETL;0;C
S65;NTIC-65 HtePYRENEES;FT;1;CE
