Centre;libelle;zones;CentreOrigine;typeNRA;BlocageR2;InfoR2;Numero;Rue;CodePostal;IlotRepHab;CoordGPS-Lambert2-COX;CoordGPS-Lambert2-COY
8CL;LABASTIDE CLERMONT;YCD BLP;RIE;HD;BLP/R2;BLP/maul6581 MAJ UMC1000 EN COURS ML42C;;VILLAGE;31250;;501382;1817004
SAD;ST ANDRE;DDI EOU PEY;;CL;;;;LE VILLAGE;31468;;480220;1808091
8SS;ESPARSAC;ESP GLA;BMG;HD;;;;LE BOURG;82055;;487636;1878879
LUC;BAGNERES DE LUCHON;DDI BAL PAR GAL GAM GAR MON MOU JUZ VEN PIQ FPA SPL THE COM JAU AVE CRE;;CL;;;6;AV ALEXANDRE DUMAS;31042;;457350;1755820
AND;ANDREST;ZDD SIA TOS MAR SAR PUJ GAY LAG;;CL;;;4;RUE ROBESPIERRE;65007;;415500;1815577
IAB;CAMBIAC;CMB;C2R;HD;;;;VILLAGE;31102;;555869;1832019
TFU;TOUR DE FAURE;DDI BOU CIR GRE SMA CEN;;CL;;;;BOURG LE;46320;;548232;1941237
NAC;SERENAC;DDI JUL GAU;;CL;;;;BOURG;81285;;599934;1884671
G2R;BALMA GRAMONT;BLX BLZ VID XGP XDD HPL XCA;;CL;;;14;RUE VIDAILHAN;31044;;531582;1847170
QUE;QUERBES;DDI MON REB CAP PAS BRI;;CL;;;;LE MOULIN NEUF;12154;;638592;1877005
B2R;BRIE;DDI;;CL;;;;VILLAGE;09067;;533398;1800775
8ST;ST MEDARD 46;MED;CTF;HD;;;;LE BOURG;46280;;516896;1948974
IAC;CALVIAC;DDI BLC LMT;;CL;;;;CALVIAC;46311;;577207;1991143
GTM;MARGOUET MEYMES;MAR;AIG;MED;;;;TRINQUALIE;32235;;419292;1859787
UNI;L UNION;XDD XSP XSC XVT XPY XCE XMO XFO XML XSS XTI XCR XTA XST XLT XPL XBV XCB XVG XVZ XBQ XBS XZC XDG XBE XGA;;CAA;;;69B;AV TOULOUSE;31561;;531195;1851216
YGN;MAGNAN;MAG;HOU;MED;;;;AU VILLAGE;32222;;402294;1865407
B2S;BASSO CAMBO    ;R1V R8A R8D RRD;MIR;HD;;;;RDPT DOCTEUR. MAURICE CAHUZAC;31555;;523786;1840941
THC;LAMOTHE CUMONT;LAM;BMG;HD;;;;LE BOURG;82091;;485604;1876155
