ATTR1;DUREE;COMPETENCE
1AAA50;0200;GPBL
1ADADE;0200;GPBL
1ADAXS;0200;GPBL
1ADOP8;0200;GPBL
1AL204;0200;GPBL
1AL420;0200;GPBL
1AL42C;0200;GPBL
1AL430;0200;GPBL
1AL440;0200;GPBL
1AL44O;0200;GPBL
1ALDIL;0200;GPBL
1ALDIM;0200;GPBL
1ALDTS;0200;GPBL
1ALO15;0200;GPBL
1ALO35;0200;GPBL
1ALO50;0200;GPBL
1ALO80;0200;GPBL
1BA160;0200;GPBL
1BA202;0200;GPBL
1BA205;0200;GPBL
1BA491;0200;GPBL
1BA520;0200;GPBL
1BA550;0200;GPBL
1BA695;0200;GPBL
1BA696;0200;GPBL
1BA800;0200;GPBL
1BA893;0200;GPBL
1BA956;0200;GPBL
1BAC07;0200;GPBL
1BAC08;0200;GPBL
1BAC16;0200;GPBL
1BAC17;0200;GPBL
1BAC18;0200;GPBL
1BAC25;0200;GPBL
1BAC28;0200;GPBL
1BAC30;0200;GPBL
1BAC36;0200;GPBL
1BAC37;0200;GPBL
1BAC38;0200;GPBL
1BAC52;0200;GPBL
1BAC72;0200;GPBL
1BAC90;0200;GPBL
1BACAI;0200;GPBL
1BACBB;0200;GPBL
1BACID;0200;GPBL
1BACNN;0200;GPBL
1BACPI;0200;GPBL
1BACSA;0200;GPBL
1BIPAL;0200;GPBL
1BTCCM;0200;GPBL
1CAC35;0200;GPBL
1CAC4X;0200;GPBL
1DA180;0200;GPBL
1DA181;0200;GPBL
1DA182;0200;GPBL
1DA183;0200;GPBL
1DA184;0200;GPBL
1DA185;0200;GPBL
1DA186;0200;GPBL
1DA187;0200;GPBL
1DA188;0200;GPBL
1DA189;0200;GPBL
1DA190;0200;GPBL
1DA206;0200;GPBL
1DA211;0200;GPBL
1DA213;0200;GPBL
1DA321;0200;GPBL
1DA390;0200;GPBL
1DA392;0200;GPBL
1DA454;0200;GPBL
1DA455;0200;GPBL
1DA485;0200;GPBL
1DA486;0200;GPBL
1DA508;0200;GPBL
1DA668;0200;GPBL
1DA685;0200;GPBL
1DA686;0200;GPBL
1DA802;0200;GPBL
1DA834;0200;GPBL
1DA841;0200;GPBL
1DA874;0200;GPBL
1DA890;0200;GPBL
1DA897;0200;GPBL
1DA902;0200;GPBL
1DA905;0200;GPBL
1DA913;0200;GPBL
1DA915;0200;GPBL
1DA916;0200;GPBL
1DA931;0200;GPBL
1DA932;0200;GPBL
1DA933;0200;GPBL
1DA934;0200;GPBL
1DA935;0200;GPBL
1DA936;0200;GPBL
1DA937;0200;GPBL
1DA941;0200;GPBL
1DA951;0200;GPBL
1DA952;0200;GPBL
1DA959;0200;GPBL
1DA960;0200;GPBL
1DA963;0200;GPBL
1DA964;0200;GPBL
1DAA43;0200;GPBL
1DAA62;0200;GPBL
1DAA68;0200;GPBL
1DAA90;0200;GPBL
1DAALM;0200;GPBL
1DAASM;0200;GPBL
1DAATI;0200;GPBL
1DAB3X;0200;GPBL
1DAB4X;0200;GPBL
1DABCI;0200;GPBL
1DABLI;0200;GPBL
1DABNT;0200;GPBL
1DAC35;0200;GPBL
1DAC37;0200;GPBL
1DAC4X;0200;GPBL
1DAC6X;0200;GPBL
1DACAD;0200;GPBL
1DACIH;0200;GPBL
1DACIM;0200;GPBL
1DACLR;0200;GPBL
1DACOA;0200;GPBL
1DACOM;0200;GPBL
1DADF2;0200;GPBL
