iloCodeIlot;iloLibelleIlot;iloOptim;iloCodeEtablissement;iloCodeBase;iloInfo;iloInfoAdmin;iloDateCreation;iloDateModif;iloDateSuppression;used;sedIdServDem;prsIdProdSav;dacIdDomAct;coIdCompetence;siIdSite;enIdEntreprise;fiIdFiltrage;tiIdTypeIot;banIdBandeau
09L;LL + TDSL ARIEGE;0;TF7;T1;Activité E dpt 09 et 31s;;;31/03/2016;;Oui;CACER;PROD / SAV;E;Routeur et LL;;Orange;;FT;CE
12L;LL + TDSL Aveyron;1;TF7;T1;Activité E Dpt 12;;;22/03/2016;;Oui;CACER;PROD / SAV;E;Routeur et LL;;Orange;;FT;CE
12R;BL/ SOCAMP ui poi aveyron;0;TF7;T1;;;;22/03/2016;;Non;CA BL;PROD;BL;UI de POI;;;;ETL;CE
31P;Prod Entreprise TLSE N/S;0;TF7;T1;Prod routeur TLSE;;;22/03/2016;;Oui;CACER;PROD;E;Routeur et LL;;Orange;;FT;CE
31S;SAV Entreprise TLSE N/S;0;TF7;T1;SAV Routeur TLSE;;;22/03/2016;;Oui;CACER;SAV;E;Routeur et LL;;Orange;;FT;CE
32L;LL + TSL Gers;0;TF7;T1;Activité E dpt 32;;;22/03/2016;;Oui;CACER;PROD / SAV;E;Routeur et LL;;Orange;;FT;CE
38T;RS/miroir TRANS;0;TF7;T1;Ilot de stockage lié à RST;;;22/03/2016;;?;CACER;PROD;RS;;;;;FT;R 
39S;Transit Raccord POI pour C31;0;TF7;T1;Claudine AURIERES place des raccordements de POI qui peuvent être fait par les techniciens Orange (Sur C31, Toulouse uniquement). Sylvie BOYER regarde tous les jours cet îlot pour affecter ces raccordements aux techniciens Orange. Cela permet aux conducteurs d'activités BL de faire du tri dans les bandeaux. Jacques Sabatier est au courant.Commentaire de Jacques Sabatier à ZZZ PROG POI URR le 11/05/2015 : Les chantiers raccordement fibre sur Toulouse sont à envoyer sur 39S. Cela permet de ne pas engorger C31. Sylvie se charge de gérer les chantiers;;;22/03/2016;;Oui;CA BL;PROD;BL;;;;;FT;R 
46L;LL + TDSL Lot;1;TF7;T1;Activité E dpt 46;;;22/03/2016;;Oui;CACER;PROD / SAV;E;Routeur et LL;;Orange;;FT;CE
65L;LL + TSL Hte Pyr;0;TF7;T1;Activité E dpt 65;;;22/03/2016;;Oui;CACER;PROD / SAV;E;Routeur et LL;;Orange;;FT;CE
81L;LL + TDSL TARN;0;TF7;T1;Activité E dpt 81;;;22/03/2016;;Oui;CACER;PROD / SAV;E;Routeur et LL;;Orange;;FT;CE
81R;BL/SCOPMP ui poi scopelec tarn;0;TF7;T1;;;;22/03/2016;;Non;CA BL;PROD;BL;UI de POI;;;;ETL;CE
82L;LL + TDSL T et G;0;TF7;T1;Activité E dpt 82;;;22/03/2016;;Oui;CACER;PROD / SAV;E;Routeur et LL;;Orange;;FT;CE
9CS;ui tampon recup 9 cegetel;0;TF7;T1;;Plan de charge non ouvert, à supprimer ?;;22/03/2016;;?;CACER;;;;;;;FT;CE
ABS;ui procedure abs-rmc pilotage;0;TF7;T1;;;;22/03/2016;;?;CA GD;;;;;;;ETL;CE
AC7;BL/réo GERS;0;TF7;T1;;Pas BL vu avec Jacques Sabatier;;28/03/2016;;Non;;;;;;;;FT;R 
AC8;RS/miroir GERS;0;TF7;T1;ilot de stockage lié à AC9;;;22/03/2016;;Oui;CACER;PROD;RS;;;;;FT;R 
AC9;RS/exploitation GERS;0;TF7;T1;Activité RS dpt 32;;;22/03/2016;;Oui;CACER;PROD / SAV;RS;;;;;FT;R 
ACC;der co reseau struct;0;TF7;T1;;;;22/03/2016;;Oui;CACER;;;;;;;ETL;R 
ADM;UI RESERVEE ADMIN GPC PR TESTS;0;TF7;T1;;;;22/03/2016;;Oui;Admin GPC;;Admin;;;;;FT;C 
ANA;Validés Analystes;0;TF7;T1;;Plan de charge non ouvert, à supprimer ?;;28/03/2016;;?;CACER;;;;;;;ETL;R 
AP1; SOCAMP r10 aveyron rodez; ;TF7;T1;test de mise à jour;;;22/03/2016;;Non;CA GD;PROD;GD;PABX;;SCOTF7;;ETL;C 
AQR;BL/UI BL tampon QRL analyste;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;;BL;;;;;ETL;R 
ARX;PABX RODEZ;1;TF7;T1;Activité Pabx dpt 12;;;22/03/2016;;Oui;CACER;PROD / SAV;E;PABX;;Orange;;FT;CE
AU7;RS/réo MILLAU_RODEZ;0;TF7;T1;ilot de stockage lié à AU9;;;28/03/2016;;Oui;CACER;PROD;RS;;;;;FT;R 
AU8;RS/miroir MILLAU_RODEZ;0;TF7;T1;ilot de stockage lié à AU9;;;22/03/2016;;Oui;CACER;PROD;RS;;;;;FT;R 
AU9;RS/exploitation MILLAU_RODEZ;0;TF7;T1;Activité RS dpt 12;;;22/03/2016;;Oui;CACER;PROD / SAV;RS;;;;;FT;R 
AVT;ATT RETOUR VT URR;0;TF7;T1;;;;22/03/2016;;?;;;;UI de type SE (Boite au lettre);;;;SE;  
B09;BL/ SADTF7 ARIEGE;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;SAV;BL;UI BL ETR;_09;SADTF7;;ETL;CE
B12;BL/ SCOTF7 AVEYRON;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;SAV;BL;UI BL ETR;12;SCOTF7;;ETL;CE
B31;BL/ SADTF7 31SUD;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;SAV;BL;UI BL ETR;31Sud;SADTF7;;ETL;CE
B32;BL/ SADTF7 GERS;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;SAV;BL;UI BL ETR;32;SADTF7;;ETL;CE
B3N;BL/ SCOTF7 TLSE NORD + 31 NORD;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;SAV;BL;UI BL ETR;Tlse_Nord;SCOTF7;;ETL;CE
B3S;BL/ SADTF7 TOULOUSE SUD;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;SAV;BL;UI BL ETR;Tlse_Sud;SADTF7;;ETL;CE
B46;BL/ SCOTF7 LOT;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;SAV;BL;UI BL ETR;46;SCOTF7;;ETL;CE
B65;BL/ SADTF7 HTES PYRENEES;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;SAV;BL;UI BL ETR;65;SADTF7;;ETL;CE
B81;BL/ SCOTF7 TARN;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;SAV;BL;UI BL ETR;81_Gble;SCOTF7;;ETL;CE
B82;BL/ SCOTF7 TARN ET GARONNE;0;TF7;T1;;;;22/03/2016;;Oui;CA BL;SAV;BL;UI BL ETR;82;SCOTF7;;ETL;CE
BCN;CHABLIS Zone Nord SCOTF7;0;TF7;T1;;;;22/03/2016;;Oui;;PROD;GD;;;SCOTF7;;ETL;CE
BCS;CHABLIS Zone Sud SADTF7;0;TF7;T1;;;;22/03/2016;;Oui;;PROD;GD;;;SADTF7;;ETL;CE
BTN;DOLMEN Zone Nord SCOTF7;0;TF7;T1;;;;22/03/2016;;Oui;;PROD;GD;;;SCOTF7;;ETL;CE
BTS;DOLMEN Zone Sud SADTF7;0;TF7;T1;;;;22/03/2016;;Oui;;PROD;GD;;;SADTF7;;ETL;CE
BYC;CHABLIS;0;TF7;T1;Réceptionne les R02ANU avec dans le bloc OT marqué [CHAB], puis elles sont déplacé en fonction de la zone nord ou sud vers BCS ou BCN. Attention au listes de centre dans UGPC 31/32;;;22/03/2016;;Oui;UI Nat;PROD;GD;;;;;RE;C 
BYT;DOLMEN;0;TF7;T1;Réceptionne les R02 avec dans le bloc OT marqué [MIGB], puis elles sont déplacé en fonction de la zone nord ou sud vers BTS ou BTN. Attention au listes de centre dans UGPC 31/32;;;22/03/2016;;Oui;UI Nat;PROD;GD;;;;;RE;C 
C12;BL/ FT AVEYRON;0;TF7;T1;Pour tech OBS;Pour tech OBS;;22/03/2016;;Oui;CA BL;SAV;BL;UI RS BL (URR Câble);;Orange;;FT;CE
C31;BL/ FT TOULOUSE;0;TF7;T1;UI BL Orange;Pour tech OBS;;22/03/2016;;Oui;CA BL;SAV;BL;UI RS BL (URR Câble);;Orange;;FT;CE
C65;BL/ FT POUR 65-32-31S;0;TF7;T1;UI BL Orange;Pour tech OBS;;22/03/2016;;Oui;CA BL;SAV;BL;UI RS BL (URR Câble);;Orange;;FT;CE
C81;BL/ FT TARN;0;TF7;T1;UI BL Orange;Pour tech OBS;;22/03/2016;;Oui;CA BL;SAV;BL;UI RS BL (URR Câble);;Orange;;FT;CE
C82;BL/ FT TARN ET GARONNE;0;TF7;T1;UI BL Orange;Pour tech OBS;;22/03/2016;;Oui;CA BL;SAV;BL;UI RS BL (URR Câble);;Orange;;FT;CE
